iter	Passed	Remaining
0	1	176
1	3	162
2	4	155
3	5	143
4	7	141
5	9	143
6	10	141
7	12	140
8	13	138
9	15	137
10	16	135
11	18	133
12	19	131
13	21	129
14	22	129
15	24	127
16	25	125
17	27	123
18	28	122
19	30	120
20	31	119
21	33	117
22	34	115
23	35	113
24	37	112
25	39	111
26	40	109
27	42	108
28	43	106
29	45	105
30	46	103
31	47	101
32	49	100
33	50	98
34	52	97
35	53	95
36	55	94
37	56	92
38	58	91
39	59	89
40	61	88
41	61	85
42	63	83
43	64	82
44	66	81
45	67	79
46	69	78
47	70	76
48	72	75
49	73	73
50	75	72
51	76	70
52	78	69
53	79	67
54	80	65
55	82	64
56	83	63
57	85	61
58	86	60
59	88	58
60	89	57
61	91	55
62	92	54
63	93	52
64	95	51
65	97	50
66	98	48
67	100	47
68	101	45
69	103	44
70	104	42
71	106	41
72	107	39
73	109	38
74	110	36
75	112	35
76	113	34
77	115	32
78	116	31
79	118	29
80	119	28
81	121	26
82	122	25
83	124	23
84	126	22
85	127	20
86	129	19
87	130	17
88	132	16
89	133	14
90	135	13
91	136	11
92	138	10
93	139	8
94	141	7
95	142	5
96	144	4
97	145	2
98	147	1
99	148	0
